Region,Region_Clean,2023,2022,2021,2019,2018,2017,2016,2015,2014,2013,GrowthRate_AAGR_%
"Washington, D.C.","Washington, D.C.","$108,210.00","$101,027.00","$90,088.00","$92,266.00","$85,203.00","$82,372.00","$75,506.00","$75,628.00","$71,648.00","$67,572.00",4.82
Massachusetts,Massachusetts,"$99,858.00","$94,488.00","$89,645.00","$85,843.00","$79,835.00","$77,385.00","$75,297.00","$70,628.00","$69,160.00","$66,768.00",4.11
New Jersey,New Jersey,"$99,781.00","$96,346.00","$89,296.00","$85,751.00","$81,740.00","$80,088.00","$76,126.00","$72,222.00","$71,919.00","$70,165.00",3.58
Maryland,Maryland,"$98,678.00","$94,991.00","$90,203.00","$86,738.00","$83,242.00","$80,776.00","$78,945.00","$75,847.00","$73,971.00","$72,483.00",3.13
New Hampshire,New Hampshire,"$96,838.00","$89,992.00","$88,465.00","$77,933.00","$74,991.00","$73,381.00","$70,936.00","$70,303.00","$66,532.00","$64,230.00",4.19
California,California,"$95,521.00","$91,551.00","$84,907.00","$80,440.00","$75,277.00","$71,805.00","$67,739.00","$64,500.00","$61,933.00","$60,190.00",4.73
Hawaii,Hawaii,"$95,322.00","$92,458.00","$84,857.00","$83,102.00","$80,212.00","$77,765.00","$74,511.00","$73,486.00","$69,592.00","$68,020.00",3.43
Washington (state) Washington,Washington,"$94,605.00","$91,306.00","$84,247.00","$78,687.00","$74,073.00","$70,979.00","$67,106.00","$64,129.00","$61,366.00","$58,405.00",4.94
Utah,Utah,"$93,421.00","$89,168.00","$79,449.00","$75,780.00","$71,414.00","$65,358.00","$65,977.00","$62,912.00","$60,922.00","$59,770.00",4.57
Colorado,Colorado,"$92,911.00","$89,302.00","$82,254.00","$77,127.00","$71,953.00","$69,117.00","$65,685.00","$63,909.00","$61,303.00","$58,823.00",4.68
Connecticut,Connecticut,"$91,665.00","$88,429.00","$83,771.00","$78,833.00","$76,348.00","$74,168.00","$73,433.00","$71,346.00","$70,048.00","$67,098.00",3.17
Virginia,Virginia,"$89,931.00","$85,873.00","$80,963.00","$76,456.00","$72,577.00","$71,535.00","$68,114.00","$66,262.00","$64,902.00","$62,666.00",3.68
Alaska,Alaska,"$88,121.00","$86,631.00","$77,845.00","$75,463.00","$74,346.00","$73,181.00","$76,440.00","$73,355.00","$71,583.00","$72,237.00",2.01
Minnesota,Minnesota,"$85,086.00","$82,338.00","$77,720.00","$74,593.00","$70,315.00","$68,388.00","$65,599.00","$63,488.00","$61,481.00","$60,702.00",3.43
Rhode Island,Rhode Island,"$84,972.00","$81,854.00","$74,008.00","$71,169.00","$64,340.00","$63,870.00","$60,596.00","$58,073.00","$54,891.00","$55,902.00",4.28
Delaware,Delaware,"$82,174.00","$81,361.00","$71,091.00","$70,176.00","$64,805.00","$62,852.00","$61,757.00","$61,255.00","$59,716.00","$57,846.00",3.57
New York (state) New York,New York New York,"$82,095.00","$79,557.00","$74,314.00","$72,108.00","$67,844.00","$64,894.00","$62,909.00","$60,850.00","$58,878.00","$57,369.00",3.65
Vermont,Vermont,"$81,211.00","$73,991.00","$72,431.00","$63,001.00","$60,782.00","$57,513.00","$57,677.00","$56,990.00","$54,166.00","$52,578.00",4.44
